date,symbol,name,recommendation
12/20/21,LOPE,Grand Canyon Edu…,SELL
12/20/21,HQY,HealthEquity,SELL
12/20/21,MKL,Markel Group,SELL
12/20/21,OLLI,Ollie's Bargain Outlet,SELL
12/16/21,ROKU,Roku,BUY
12/02/21,DOCN,DigitalOcean,BUY
12/02/21,DOCN,DigitalOcean,BUY
11/18/21,U,Unity So!ware,BUY
11/04/21,PATH,UiPath,BUY
10/21/21,DOCU,Docusign,BUY
10/07/21,SHOP,Shopify,BUY
09/16/21,ASAN,Asana,BUY
09/10/21,HRC,Hill-Rom,SELL
09/03/21,STMP,Stamps.com,SELL
09/02/21,SNOW,Snowflake,BUY
08/19/21,INTU,Intuit,BUY
08/05/21,UPST,Upstart,BUY
07/15/21,DOCU,Docusign,BUY
07/14/21,STMP,Stamps.com,HOLD
07/01/21,PAYC,Paycom So!ware,BUY
07/01/21,ZM,Zoom Communicati…,BUY
06/17/21,LULU,Lululemon Athletica…,BUY
06/03/21,UPST,Upstart,BUY
05/20/21,AMZN,Amazon,BUY
05/12/21,TLND,Talend,SELL
05/06/21,SHOP,Shopify,BUY
05/05/21,BAMXF,Bayerische Motoren…,HOLD
05/05/21,NEWR,New Relic,HOLD
04/15/21,TTC,Toro,BUY
04/01/21,TEAM,Atlassian,BUY
03/18/21,LRCX,Lam Research,BUY
03/11/21,TLND,Talend,HOLD
03/04/21,SKLZ,Skillz,BUY
02/23/21,Lions,Gate Entertai…,SELL
02/23/21,Lions,Gate Entertai…,SELL
02/23/21,A,TLK Perusahaan Persero…,HOLD
02/23/21,BUD,Anheuser-Busch In…,HOLD
02/23/21,ARLO,Arlo Technologies,SELL
02/23/21,NTGR,Netgear,SELL
02/18/21,IDXX,Idexx Laboratories,BUY
02/04/21,FVRR,Fiverr International,BUY
02/04/21,FVRR,Fiverr International,BUY
01/21/21,ABNB,Airbnb,BUY
01/12/21,LMND,Lemonade,BUY
01/07/21,LMND,Lemonade,BUY
12/17/20,COUP,Coupa So!ware,BUY
12/03/20,LMND,Lemonade,BUY
11/19/20,ZBRA,Zebra Technologies,BUY
11/05/20,FVRR,Fiverr International,BUY
11/04/20,DDD,3D Systems,SELL
11/04/20,SWIR,Sierra Wireless,SELL
11/02/20,SINA,Sina,SELL
11/02/20,WB,Weibo,SELL
10/15/20,ADSK,Autodesk,BUY
10/01/20,PINS,Pinterest,BUY
09/17/20,BAND,Bandwidth,BUY
09/04/20,JWN,Nordstrom,SELL
09/04/20,SWIR,Sierra Wireless,HOLD
09/03/20,FVRR,Fiverr International,BUY
08/20/20,JD,JD.com,BUY
08/06/20,WIX,Wix.com,BUY
07/16/20,ASML,ASML,BUY
07/02/20,CRWD,CrowdStrike,BUY
06/18/20,WEX,Wex,BUY
06/05/20,QGEN,Qiagen,SELL
06/04/20,CRWD,CrowdStrike,BUY
05/21/20,GMED,Globus Medical,BUY
05/20/20,BJRI,BJ's Restaurants,SELL
